"fov","cellID","x_local_px","y_local_px","x_global_px","y_global_px"
32,1,111,4256,151186.817108155,-38230.1113230387
32,1,111,4255,151186.817108155,-38231.1113230387
32,1,109,4246,151184.817108155,-38240.1113230387
32,1,106,4237,151181.817108155,-38249.1113230387
32,1,93,4221,151168.817108155,-38265.1113230387
32,1,81,4208,151156.817108155,-38278.1113230387
32,1,2,4197,151077.817108155,-38289.1113230387
32,1,1,4197,151076.817108155,-38289.1113230387
32,1,0,4198,151075.817108155,-38288.1113230387
32,1,0,4256,151075.817108155,-38230.1113230387
32,2,926,4256,152001.817108155,-38230.1113230387
32,2,927,4253,152002.817108155,-38233.1113230387
32,2,927,4239,152002.817108155,-38247.1113230387
32,2,925,4231,152000.817108155,-38255.1113230387
32,2,924,4228,151999.817108155,-38258.1113230387
32,2,921,4222,151996.817108155,-38264.1113230387
32,2,914,4213,151989.817108155,-38273.1113230387
32,2,913,4212,151988.817108155,-38274.1113230387
32,2,903,4204,151978.817108155,-38282.1113230387
32,2,899,4201,151974.817108155,-38285.1113230387
32,2,888,4193,151963.817108155,-38293.1113230387
32,2,884,4191,151959.817108155,-38295.1113230387
32,2,878,4189,151953.817108155,-38297.1113230387
32,2,843,4189,151918.817108155,-38297.1113230387
32,2,835,4193,151910.817108155,-38293.1113230387
32,2,776,4227,151851.817108155,-38259.1113230387
32,2,767,4233,151842.817108155,-38253.1113230387
32,2,762,4238,151837.817108155,-38248.1113230387
32,2,761,4240,151836.817108155,-38246.1113230387
32,2,760,4243,151835.817108155,-38243.1113230387
32,2,759,4248,151834.817108155,-38238.1113230387
32,2,760,4253,151835.817108155,-38233.1113230387
32,2,761,4256,151836.817108155,-38230.1113230387
32,3,1177,4256,152252.817108155,-38230.1113230387
32,3,1178,4254,152253.817108155,-38232.1113230387
32,3,1179,4249,152254.817108155,-38237.1113230387
32,3,1178,4247,152253.817108155,-38239.1113230387
32,3,1170,4241,152245.817108155,-38245.1113230387
32,3,1160,4235,152235.817108155,-38251.1113230387
32,3,1147,4229,152222.817108155,-38257.1113230387
32,3,1085,4204,152160.817108155,-38282.1113230387
32,3,1084,4204,152159.817108155,-38282.1113230387
32,3,1083,4207,152158.817108155,-38279.1113230387
32,3,1081,4216,152156.817108155,-38270.1113230387
32,3,1076,4243,152151.817108155,-38243.1113230387
32,3,1075,4249,152150.817108155,-38237.1113230387
32,3,1075,4256,152150.817108155,-38230.1113230387
32,4,1350,4256,152425.817108155,-38230.1113230387
32,4,1350,4252,152425.817108155,-38234.1113230387
32,4,1347,4226,152422.817108155,-38260.1113230387
32,4,1345,4217,152420.817108155,-38269.1113230387
32,4,1341,4205,152416.817108155,-38281.1113230387
32,4,1340,4203,152415.817108155,-38283.1113230387
32,4,1339,4202,152414.817108155,-38284.1113230387
32,4,1301,4179,152376.817108155,-38307.1113230387
32,4,1283,4169,152358.817108155,-38317.1113230387
32,4,1264,4159,152339.817108155,-38327.1113230387
32,4,1262,4159,152337.817108155,-38327.1113230387
32,4,1258,4162,152333.817108155,-38324.1113230387
32,4,1228,4243,152303.817108155,-38243.1113230387
32,4,1228,4244,152303.817108155,-38242.1113230387
32,4,1231,4250,152306.817108155,-38236.1113230387
32,4,1236,4255,152311.817108155,-38231.1113230387
32,4,1238,4256,152313.817108155,-38230.1113230387
32,5,1452,4256,152527.817108155,-38230.1113230387
32,5,1453,4255,152528.817108155,-38231.1113230387
32,5,1453,4248,152528.817108155,-38238.1113230387
32,5,1441,4222,152516.817108155,-38264.1113230387
32,5,1440,4220,152515.817108155,-38266.1113230387
32,5,1438,4217,152513.817108155,-38269.1113230387
32,5,1433,4210,152508.817108155,-38276.1113230387
32,5,1426,4201,152501.817108155,-38285.1113230387
32,5,1415,4190,152490.817108155,-38296.1113230387
32,5,1404,4181,152479.817108155,-38305.1113230387
32,5,1397,4176,152472.817108155,-38310.1113230387
32,5,1372,4176,152447.817108155,-38310.1113230387
32,5,1342,4202,152417.817108155,-38284.1113230387
32,5,1341,4203,152416.817108155,-38283.1113230387
32,5,1341,4204,152416.817108155,-38282.1113230387
32,5,1350,4251,152425.817108155,-38235.1113230387
32,5,1351,4256,152426.817108155,-38230.1113230387
32,6,1790,4256,152865.817108155,-38230.1113230387
32,6,1790,4247,152865.817108155,-38239.1113230387
32,6,1770,4207,152845.817108155,-38279.1113230387
32,6,1766,4200,152841.817108155,-38286.1113230387
32,6,1763,4195,152838.817108155,-38291.1113230387
32,6,1752,4188,152827.817108155,-38298.1113230387
32,6,1750,4187,152825.817108155,-38299.1113230387
32,6,1741,4184,152816.817108155,-38302.1113230387
32,6,1736,4183,152811.817108155,-38303.1113230387
32,6,1727,4182,152802.817108155,-38304.1113230387
32,6,1716,4182,152791.817108155,-38304.1113230387
32,6,1714,4183,152789.817108155,-38303.1113230387
32,6,1705,4192,152780.817108155,-38294.1113230387
32,6,1697,4202,152772.817108155,-38284.1113230387
32,6,1692,4212,152767.817108155,-38274.1113230387
32,6,1680,4240,152755.817108155,-38246.1113230387
32,6,1679,4243,152754.817108155,-38243.1113230387
32,6,1678,4248,152753.817108155,-38238.1113230387
32,6,1679,4253,152754.817108155,-38233.1113230387
32,6,1680,4256,152755.817108155,-38230.1113230387
32,7,2096,4256,153171.817108155,-38230.1113230387
32,7,2096,4231,153171.817108155,-38255.1113230387
32,7,2095,4225,153170.817108155,-38261.1113230387
32,7,2092,4212,153167.817108155,-38274.1113230387
32,7,2090,4211,153165.817108155,-38275.1113230387
32,7,2086,4210,153161.817108155,-38276.1113230387
32,7,2057,4203,153132.817108155,-38283.1113230387
32,7,2024,4202,153099.817108155,-38284.1113230387
32,7,2022,4202,153097.817108155,-38284.1113230387
32,7,2014,4206,153089.817108155,-38280.1113230387
32,7,2009,4210,153084.817108155,-38276.1113230387
32,7,1984,4235,153059.817108155,-38251.1113230387
32,7,1990,4256,153065.817108155,-38230.1113230387
32,8,2824,4256,153899.817108155,-38230.1113230387
32,8,2825,4255,153900.817108155,-38231.1113230387
32,8,2825,4241,153900.817108155,-38245.1113230387
32,8,2824,4238,153899.817108155,-38248.1113230387
32,8,2814,4210,153889.817108155,-38276.1113230387
32,8,2813,4208,153888.817108155,-38278.1113230387
32,8,2804,4199,153879.817108155,-38287.1113230387
32,8,2794,4194,153869.817108155,-38292.1113230387
32,8,2780,4188,153855.817108155,-38298.1113230387
32,8,2777,4187,153852.817108155,-38299.1113230387
32,8,2772,4186,153847.817108155,-38300.1113230387
32,8,2771,4186,153846.817108155,-38300.1113230387
32,8,2761,4188,153836.817108155,-38298.1113230387
32,8,2757,4189,153832.817108155,-38297.1113230387
32,8,2693,4208,153768.817108155,-38278.1113230387
32,8,2675,4226,153750.817108155,-38260.1113230387
32,8,2674,4228,153749.817108155,-38258.1113230387
32,8,2671,4237,153746.817108155,-38249.1113230387
32,8,2671,4243,153746.817108155,-38243.1113230387
32,8,2672,4251,153747.817108155,-38235.1113230387
32,8,2674,4255,153749.817108155,-38231.1113230387
32,8,2675,4256,153750.817108155,-38230.1113230387
32,9,3446,4256,154521.817108155,-38230.1113230387
32,9,3451,4243,154526.817108155,-38243.1113230387
32,9,3453,4234,154528.817108155,-38252.1113230387
32,9,3455,4222,154530.817108155,-38264.1113230387
32,9,3456,4213,154531.817108155,-38273.1113230387
32,9,3456,4203,154531.817108155,-38283.1113230387
32,9,3455,4200,154530.817108155,-38286.1113230387
32,9,3454,4198,154529.817108155,-38288.1113230387
32,9,3441,4193,154516.817108155,-38293.1113230387
32,9,3425,4187,154500.817108155,-38299.1113230387
32,9,3421,4187,154496.817108155,-38299.1113230387
32,9,3409,4191,154484.817108155,-38295.1113230387
32,9,3407,4192,154482.817108155,-38294.1113230387
32,9,3367,4214,154442.817108155,-38272.1113230387
32,9,3357,4221,154432.817108155,-38265.1113230387
32,9,3351,4226,154426.817108155,-38260.1113230387
32,9,3350,4228,154425.817108155,-38258.1113230387
32,9,3349,4231,154424.817108155,-38255.1113230387
32,9,3348,4236,154423.817108155,-38250.1113230387
32,9,3348,4247,154423.817108155,-38239.1113230387
32,9,3349,4252,154424.817108155,-38234.1113230387
32,9,3350,4255,154425.817108155,-38231.1113230387
32,9,3351,4256,154426.817108155,-38230.1113230387
32,10,3541,4256,154616.817108155,-38230.1113230387
32,10,3547,4250,154622.817108155,-38236.1113230387
32,10,3559,4232,154634.817108155,-38254.1113230387
32,10,3560,4230,154635.817108155,-38256.1113230387
32,10,3563,4221,154638.817108155,-38265.1113230387
32,10,3563,4189,154638.817108155,-38297.1113230387
32,10,3562,4186,154637.817108155,-38300.1113230387
32,10,3561,4184,154636.817108155,-38302.1113230387
32,10,3550,4173,154625.817108155,-38313.1113230387
