"fov","cell_ID","Area","AspectRatio","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.MembraneStain_B2M","Max.MembraneStain_B2M","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI"
32,1,4816,1.87,55,4227,151130.817108155,-38259.1113230387,112,60,2305,13413,56,510,702,3365,26,372,1598,3608
32,2,8175,2.5,843,4223,151918.817108155,-38263.1113230387,170,68,5089,28477,36,230,479,1829,35,623,356,2434
32,3,3280,1.98,1127,4230,152202.817108155,-38256.1113230387,105,53,2990,10439,50,425,693,4483,39,426,1163,2968
32,4,7932,1.26,1289,4208,152364.817108155,-38278.1113230387,123,98,4225,59963,59,527,856,3392,50,715,2351,5514
32,5,6688,1.41,1397,4216,152472.817108155,-38270.1113230387,114,81,4484,29366,86,574,880,3512,50,698,2041,4204
32,6,6124,1.52,1734,4219,152809.817108155,-38267.1113230387,114,75,2600,11879,162,1849,1413,6099,45,650,1390,3689
32,7,5080,2.07,2040,4229,153115.817108155,-38257.1113230387,114,55,5893,25885,80,712,1162,6912,69,729,2076,4007
32,8,8399,2.2,2748,4221,153823.817108155,-38265.1113230387,156,71,3412,14130,52,444,2174,14964,60,956,357,1535
32,9,5798,1.57,3402,4222,154477.817108155,-38264.1113230387,110,70,2079,10444,64,340,866,3373,97,532,1443,3893
32,10,8252,1.33,3505,4212,154580.817108155,-38274.1113230387,118,89,1704,9314,41,3662,674,5254,80,6846,1103,3262
32,11,2986,1.72,3874,4233,154949.817108155,-38253.1113230387,81,47,3733,20466,22,382,1534,9831,36,906,452,1594
32,12,5683,2.03,3975,4226,155050.817108155,-38260.1113230387,126,62,2265,15554,45,2852,678,5130,97,5887,1156,3284
32,13,7538,2.73,4134,4224,155209.817108155,-38262.1113230387,180,66,3011,10985,59,2327,1447,6642,85,5818,904,3827
32,14,4245,0.93,1048,4219,152123.817108155,-38267.1113230387,70,75,3177,8286,65,599,1109,4227,40,875,708,2314
32,15,5152,1.57,3164,4226,154239.817108155,-38260.1113230387,96,61,3668,13050,38,318,1393,5959,58,645,1070,3497
32,16,5966,1.28,1908,4218,152983.817108155,-38268.1113230387,100,78,2543,10795,91,576,1390,6400,92,574,1832,4786
32,17,4456,0.76,1799,4209,152874.817108155,-38277.1113230387,72,95,2346,12005,82,3765,1016,5919,87,6661,1620,3326
32,18,12183,1.02,2229,4195,153304.817108155,-38291.1113230387,126,123,4971,17694,119,954,4302,40860,72,977,886,3786
32,19,7959,2.08,158,4219,151233.817108155,-38267.1113230387,156,75,6332,19781,59,677,1037,4299,39,1145,345,1610
32,20,5534,1.65,286,4221,151361.817108155,-38265.1113230387,117,71,1903,9192,63,4114,625,4948,67,6119,761,2500
32,21,8127,1.21,611,4209,151686.817108155,-38277.1113230387,115,95,2817,11592,36,318,688,3421,31,544,762,2546
32,22,2905,1.12,3809,4227,154884.817108155,-38259.1113230387,67,60,1666,7735,109,1196,1887,10522,220,1467,887,2443
32,23,5932,0.79,1442,4194,152517.817108155,-38292.1113230387,89,113,4352,16261,313,7370,1315,3783,58,719,694,3947
32,24,5895,1.27,2866,4209,153941.817108155,-38277.1113230387,105,83,2289,9967,96,4968,1059,5870,162,8260,733,2539
32,25,6454,1.35,1143,4202,152218.817108155,-38284.1113230387,123,91,1449,9929,86,5532,457,5560,86,6792,1607,3560
32,26,4788,1.16,2560,4211,153635.817108155,-38275.1113230387,88,76,2252,12931,105,479,1557,11897,110,871,1056,3110
