cell_id	label	lab_color
f16_c1	Mast cells	lightblue1
f16_c2	Mast cells	lightblue1
f16_c3	TAMs	blue
f16_c4	DCs	dodgerblue4
f16_c5	TAMs	blue
f16_c6	CAFs	lightgoldenrod4
f16_c7	TAMs	blue
f16_c8	TAMs	blue
f16_c9	CAFs	lightgoldenrod4
f16_c10	Blood ECs	lightgoldenrod1
f16_c11	Blood ECs	lightgoldenrod1
f16_c12	Blood ECs	lightgoldenrod1
f16_c13	BC cells	orangered1
f16_c14	BC cells	orangered1
f16_c15	BC cells	orangered1
f16_c16	BC cells	orangered1
f16_c17	BC cells	orangered1
f16_c18	BC cells	orangered1
f16_c19	BC cells	orangered1
f16_c20	BC cells	orangered1
f16_c21	BC cells	orangered1
f16_c22	BC cells	orangered1
f16_c23	BC cells	orangered1
f16_c24	BC cells	orangered1
f16_c25	BC cells	orangered1
f16_c26	BC cells	orangered1
f16_c27	BC cells	orangered1
f16_c28	BC cells	orangered1
f16_c29	BC cells	orangered1
f16_c30	BC cells	orangered1
f16_c31	BC cells	orangered1
f16_c32	BC cells	orangered1
f16_c33	BC cells	orangered1
f16_c34	BC cells	orangered1
f16_c35	BC cells	orangered1
f16_c36	BC cells	orangered1
f16_c37	BC cells	orangered1
f16_c38	BC cells	orangered1
f16_c39	BC cells	orangered1
f16_c40	BC cells	orangered1
f16_c41	BC cells	orangered1
f16_c42	BC cells	orangered1
f16_c43	BC cells	orangered1
f16_c44	BC cells	orangered1
f16_c45	BC cells	orangered1
f16_c46	CAFs	lightgoldenrod4
f16_c47	BC cells	orangered1
f16_c48	BC cells	orangered1
f16_c49	BC cells	orangered1
f16_c50	BC cells	orangered1
f16_c51	BC cells	orangered1
f16_c52	BC cells	orangered1
f16_c53	BC cells	orangered1
f16_c54	BC cells	orangered1
f16_c55	BC cells	orangered1
f16_c56	BC cells	orangered1
f16_c57	BC cells	orangered1
f16_c58	BC cells	orangered1
f16_c59	BC cells	orangered1
f16_c60	BC cells	orangered1
f16_c61	BC cells	orangered1
f16_c62	BC cells	orangered1
f16_c63	BC cells	orangered1
f16_c64	BC cells	orangered1
f16_c65	BC cells	orangered1
f16_c66	BC cells	orangered1
f16_c67	BC cells	orangered1
f16_c68	BC cells	orangered1
f16_c69	BC cells	orangered1
f16_c70	BC cells	orangered1
f16_c71	BC cells	orangered1
f16_c72	BC cells	orangered1
f16_c73	BC cells	orangered1
f16_c74	BC cells	orangered1
f16_c75	BC cells	orangered1
f16_c76	Myoepithelial cells	goldenrod1
f16_c77	BC cells	orangered1
f16_c78	BC cells	orangered1
f16_c79	BC cells	orangered1
f16_c80	BC cells	orangered1
f16_c81	BC cells	orangered1
f16_c82	BC cells	orangered1
f16_c83	BC cells	orangered1
f16_c84	BC cells	orangered1
f16_c85	Mix BC cells TAMs	purple
f16_c86	BC cells	orangered1
f16_c87	BC cells	orangered1
f16_c88	BC cells	orangered1
f16_c89	BC cells	orangered1
f16_c90	BC cells	orangered1
f16_c91	BC cells	orangered1
f16_c92	BC cells	orangered1
f16_c93	BC cells	orangered1
f16_c94	BC cells	orangered1
f16_c95	BC cells	orangered1
f16_c96	Mix BC cells TAMs	purple
f16_c97	BC cells	orangered1
f16_c98	BC cells	orangered1
f16_c99	TAMs	blue
f16_c100	BC cells	orangered1
f16_c101	BC cells	orangered1
f16_c102	BC cells	orangered1
f16_c103	BC cells	orangered1
f16_c104	BC cells	orangered1
f16_c105	BC cells	orangered1
f16_c106	BC cells	orangered1
f16_c107	BC cells	orangered1
f16_c108	BC cells	orangered1
f16_c109	BC cells	orangered1
f16_c110	BC cells	orangered1
f16_c111	Mix BC cells TAMs	purple
f16_c112	BC cells	orangered1
f16_c113	BC cells	orangered1
f16_c114	BC cells	orangered1
f16_c115	BC cells	orangered1
f16_c116	BC cells	orangered1
f16_c117	BC cells	orangered1
f16_c118	BC cells	orangered1
f16_c119	BC cells	orangered1
f16_c120	BC cells	orangered1
f16_c121	BC cells	orangered1
f16_c122	BC cells	orangered1
f16_c123	BC cells	orangered1
f16_c124	BC cells	orangered1
f16_c125	BC cells	orangered1
f16_c126	BC cells	orangered1
f16_c127	BC cells	orangered1
f16_c128	BC cells	orangered1
f16_c129	BC cells	orangered1
f16_c130	BC cells	orangered1
f16_c131	BC cells	orangered1
f16_c132	BC cells	orangered1
f16_c133	BC cells	orangered1
f16_c134	BC cells	orangered1
f16_c135	BC cells	orangered1
f16_c136	BC cells	orangered1
f16_c137	BC cells	orangered1
f16_c138	BC cells	orangered1
f16_c139	BC cells	orangered1
f16_c140	BC cells	orangered1
f16_c141	BC cells	orangered1
f16_c142	BC cells	orangered1
f16_c143	BC cells	orangered1
f16_c144	BC cells	orangered1
f16_c145	BC cells	orangered1
f16_c146	BC cells	orangered1
f16_c147	BC cells	orangered1
f16_c148	BC cells	orangered1
f16_c149	BC cells	orangered1
f16_c150	BC cells	orangered1
f16_c151	BC cells	orangered1
f16_c152	BC cells	orangered1
f16_c153	BC cells	orangered1
f16_c154	BC cells	orangered1
f16_c155	BC cells	orangered1
f16_c156	BC cells	orangered1
f16_c157	BC cells	orangered1
f16_c158	BC cells	orangered1
f16_c159	BC cells	orangered1
f16_c160	BC cells	orangered1
f16_c161	BC cells	orangered1
f16_c162	BC cells	orangered1
f16_c163	BC cells	orangered1
f16_c164	BC cells	orangered1
f16_c165	BC cells	orangered1
f16_c166	BC cells	orangered1
f16_c167	BC cells	orangered1
f16_c168	BC cells	orangered1
f16_c169	BC cells	orangered1
f16_c170	BC cells	orangered1
f16_c171	BC cells	orangered1
f16_c172	BC cells	orangered1
f16_c173	BC cells	orangered1
f16_c174	BC cells	orangered1
f16_c175	BC cells	orangered1
f16_c176	BC cells	orangered1
f16_c177	BC cells	orangered1
f16_c178	BC cells	orangered1
f16_c179	BC cells	orangered1
f16_c180	BC cells	orangered1
f16_c181	BC cells	orangered1
f16_c182	BC cells	orangered1
f16_c183	BC cells	orangered1
f16_c184	BC cells	orangered1
f16_c185	BC cells	orangered1
f16_c186	BC cells	orangered1
f16_c187	BC cells	orangered1
f16_c188	BC cells	orangered1
f16_c189	BC cells	orangered1
f16_c190	BC cells	orangered1
f16_c191	BC cells	orangered1
f16_c192	BC cells	orangered1
f16_c193	BC cells	orangered1
f16_c194	BC cells	orangered1
f16_c195	BC cells	orangered1
f16_c196	BC cells	orangered1
f16_c197	BC cells	orangered1
f16_c198	BC cells	orangered1
f16_c199	BC cells	orangered1
f16_c200	BC cells	orangered1
f16_c201	BC cells	orangered1
f16_c202	BC cells	orangered1
f16_c203	BC cells	orangered1
f16_c204	BC cells	orangered1
f16_c205	BC cells	orangered1
f16_c206	BC cells	orangered1
f16_c207	BC cells	orangered1
f16_c208	BC cells	orangered1
f16_c209	BC cells	orangered1
f16_c210	BC cells	orangered1
f16_c211	BC cells	orangered1
f16_c212	BC cells	orangered1
f16_c213	BC cells	orangered1
f16_c214	BC cells	orangered1
f16_c215	BC cells	orangered1
f16_c216	BC cells	orangered1
f16_c217	BC cells	orangered1
f16_c218	BC cells	orangered1
f16_c219	BC cells	orangered1
f16_c220	BC cells	orangered1
f16_c221	BC cells	orangered1
f16_c222	BC cells	orangered1
f16_c223	BC cells	orangered1
f16_c224	BC cells	orangered1
f16_c225	BC cells	orangered1
f16_c226	BC cells	orangered1
f16_c227	BC cells	orangered1
f16_c228	BC cells	orangered1
f16_c229	BC cells	orangered1
f16_c230	BC cells	orangered1
f16_c231	BC cells	orangered1
f16_c232	BC cells	orangered1
f16_c233	BC cells	orangered1
f16_c234	BC cells	orangered1
f16_c235	BC cells	orangered1
f16_c236	BC cells	orangered1
f16_c237	BC cells	orangered1
f16_c238	BC cells	orangered1
f16_c239	BC cells	orangered1
f16_c240	BC cells	orangered1
f16_c241	BC cells	orangered1
f16_c242	BC cells	orangered1
f16_c243	BC cells	orangered1
f16_c244	BC cells	orangered1
f16_c245	BC cells	orangered1
f16_c246	BC cells	orangered1
f16_c247	BC cells	orangered1
f16_c248	BC cells	orangered1
f16_c249	BC cells	orangered1
f16_c250	BC cells	orangered1
f16_c251	BC cells	orangered1
