"fov","Area","AspectRatio","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.Membrane","Max.Membrane","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI","SplitRatioToLocal","NucArea","NucAspectRatio","Circularity","Eccentricity","Perimeter","Solidity","cell_id","X","version","dualfiles","Run_name","Run_Tissue_name","ISH.concentration","Dash","tissue","Panel","assay_type","slide_ID","cell_ID","median_RNA","RNA_quantile_0.75","RNA_quantile_0.8","RNA_quantile_0.85","RNA_quantile_0.9","RNA_quantile_0.95","RNA_quantile_0.99","nCount_RNA","nFeature_RNA","median_negprobes","negprobes_quantile_0.75","negprobes_quantile_0.8","negprobes_quantile_0.85","negprobes_quantile_0.9","negprobes_quantile_0.95","negprobes_quantile_0.99","nCount_negprobes","nFeature_negprobes","Area.um2","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","cell"
344,4775,0.31,139,43,2125,5096,508,2404,896,2144,435,2592,1267,2332,0.92,2896,0.42,0.61,0.55,313,15.26,"c_1_344_1",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,1,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,9973.43,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,60.61,2,68.76,387,21,2397,4244,"c_1_344_1"
344,6700,0.47,129,61,1549,4132,462,3564,1108,2764,443,3408,1936,3512,1.29,5128,0.48,0.83,0.48,318,21.07,"c_1_344_2",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,2,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,12192.45,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,66.33,2,96.48,518,30,2528,4235,"c_1_344_2"
344,2514,0.35,103,36,3089,12372,407,620,1274,3932,423,852,1250,2184,0.49,1412,0.5,0.57,0.3,236,10.65,"c_1_344_3",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,3,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,10149.07,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,49.31,2,36.2016,652,18,2662,4247,"c_1_344_3"
344,3226,0.37,116,43,2051,10116,396,540,782,1948,408,712,2546,5980,0.62,1504,0.55,0.54,0.74,275,11.73,"c_1_344_4",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,4,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,13286.36,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,29.39,2,46.4544,756,21,2766,4244,"c_1_344_4"
344,10397,0.93,125,116,707,1668,308,776,1249,4132,1169,6032,2485,6972,2.01,3620,0.87,0.87,0.48,388,26.8,"c_1_344_5",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,5,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,11500.1,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,46.19,2,149.7168,2136,58,4146,4207,"c_1_344_5"
344,1962,0.92,51,47,827,1076,374,748,1820,4164,1434,3084,4453,6316,0.38,1840,0.92,1.03,0.65,155,12.66,"c_1_344_6",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,6,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14348.54,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,40.81,2,28.2528,2271,23,4281,4242,"c_1_344_6"
344,1584,0.9,51,46,880,1216,363,628,1621,3008,1774,4064,3873,5440,0.31,1431,0.9,0.74,0.59,164,9.66,"c_1_344_7",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,7,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14213.01,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,34.12,2,22.8096,2317,23,4327,4242,"c_1_344_7"
344,1764,0.37,90,33,893,1148,353,500,1746,3228,1971,6020,4648,6472,0.34,1526,0.4,0.52,0.71,207,8.52,"c_1_344_8",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,8,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,16155.91,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,41.03,2,25.4016,2386,16,4396,4249,"c_1_344_8"
344,9851,0.46,199,91,963,1400,472,1024,1941,5472,1733,6180,3530,6652,1.9,6080,0.5,0.56,0.75,472,20.87,"c_1_344_9",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,9,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14354.98,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,50.42,2,141.8544,2701,45,4711,4220,"c_1_344_9"
344,2595,0.8,66,53,913,1076,466,1280,1818,3348,2184,5236,3035,5260,0.5,1600,0.78,1.9,0.63,131,19.81,"c_1_344_10",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,10,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,15123.67,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,44.27,2,37.368,2831,26,4841,4239,"c_1_344_10"
