cell_id	label	lab_color
f344_c1	dropped	grey30
f344_c10	dropped	grey30
f344_c100	Tfh	#134502
f344_c1000	dropped	grey30
f344_c1001	dropped	grey30
f344_c1002	dropped	grey30
f344_c1003	dropped	grey30
f344_c1004	dropped	grey30
f344_c1005	dropped	grey30
f344_c1006	dropped	grey30
f344_c1007	dropped	grey30
f344_c1008	dropped	grey30
f344_c1009	dropped	grey30
f344_c101	dropped	grey30
f344_c1010	dropped	grey30
f344_c1011	dropped	grey30
f344_c1012	Proliferating.B.Cell	orchid
f344_c1013	dropped	grey30
f344_c1014	dropped	grey30
f344_c1015	dropped	grey30
f344_c1016	Proliferating.B.Cell	orchid
f344_c1017	dropped	grey30
f344_c1018	dropped	grey30
f344_c1019	Mesenchymal	lightgoldenrod1
f344_c102	dropped	grey30
f344_c1020	dropped	grey30
f344_c1021	dropped	grey30
f344_c1022	dropped	grey30
f344_c1023	Macrophages.2	dodgerblue4
f344_c1024	dropped	grey30
f344_c1025	dropped	grey30
f344_c1026	dropped	grey30
f344_c1027	dropped	grey30
f344_c1028	dropped	grey30
f344_c1029	dropped	grey30
f344_c103	dropped	grey30
f344_c1030	dropped	grey30
f344_c1031	dropped	grey30
f344_c1032	dropped	grey30
f344_c1033	dropped	grey30
f344_c1034	dropped	grey30
f344_c1035	dropped	grey30
f344_c1036	dropped	grey30
f344_c1037	dropped	grey30
f344_c1038	dropped	grey30
f344_c1039	dropped	grey30
f344_c104	dropped	grey30
f344_c1040	dropped	grey30
f344_c1041	dropped	grey30
f344_c1042	dropped	grey30
f344_c1043	dropped	grey30
f344_c1044	dropped	grey30
f344_c1045	dropped	grey30
f344_c1046	dropped	grey30
f344_c1047	dropped	grey30
f344_c1048	dropped	grey30
f344_c1049	dropped	grey30
f344_c105	dropped	grey30
f344_c1050	dropped	grey30
f344_c1051	Macrophages.2	dodgerblue4
f344_c1052	dropped	grey30
f344_c1053	dropped	grey30
f344_c1054	dropped	grey30
f344_c1055	dropped	grey30
f344_c1056	dropped	grey30
f344_c1057	dropped	grey30
f344_c1058	dropped	grey30
f344_c1059	dropped	grey30
f344_c106	dropped	grey30
f344_c1060	dropped	grey30
f344_c1061	NK	darkolivegreen1
f344_c1062	dropped	grey30
f344_c1063	Proliferating.B.Cell	orchid
f344_c1064	dropped	grey30
f344_c1065	dropped	grey30
f344_c1066	Proliferating.B.Cell	orchid
f344_c1067	Mesenchymal	lightgoldenrod1
f344_c1068	dropped	grey30
f344_c1069	dropped	grey30
f344_c107	dropped	grey30
f344_c1070	dropped	grey30
f344_c1071	dropped	grey30
f344_c1072	Proliferating.B.Cell	orchid
f344_c1073	dropped	grey30
f344_c1074	dropped	grey30
f344_c1075	NK	darkolivegreen1
f344_c1076	dropped	grey30
f344_c1077	dropped	grey30
f344_c1078	dropped	grey30
f344_c1079	dropped	grey30
f344_c108	Proliferating.B.Cell	orchid
f344_c1080	dropped	grey30
f344_c1081	dropped	grey30
f344_c1082	Proliferating.B.Cell	orchid
f344_c1083	dropped	grey30
f344_c1084	dropped	grey30
f344_c1085	dropped	grey30
f344_c1086	dropped	grey30
f344_c1087	dropped	grey30
f344_c1088	dropped	grey30
f344_c1089	dropped	grey30
f344_c109	dropped	grey30
f344_c1090	dropped	grey30
f344_c1091	dropped	grey30
f344_c1092	Proliferating.B.Cell	orchid
f344_c1093	dropped	grey30
f344_c1094	dropped	grey30
f344_c1095	dropped	grey30
f344_c1096	dropped	grey30
f344_c1097	dropped	grey30
f344_c1098	dropped	grey30
f344_c1099	dropped	grey30
f344_c11	dropped	grey30
f344_c110	Proliferating.B.Cell	orchid
f344_c1100	dropped	grey30
f344_c1101	dropped	grey30
f344_c1102	dropped	grey30
f344_c1103	dropped	grey30
f344_c1104	dropped	grey30
f344_c1105	dropped	grey30
f344_c1106	dropped	grey30
f344_c1107	dropped	grey30
f344_c1108	dropped	grey30
f344_c1109	dropped	grey30
f344_c111	Tfh	#134502
f344_c1110	dropped	grey30
f344_c1111	dropped	grey30
f344_c1112	dropped	grey30
f344_c1113	dropped	grey30
f344_c1114	dropped	grey30
f344_c1115	dropped	grey30
f344_c1116	dropped	grey30
f344_c1117	dropped	grey30
f344_c1118	dropped	grey30
f344_c1119	dropped	grey30
f344_c112	dropped	grey30
f344_c1120	dropped	grey30
f344_c1121	dropped	grey30
f344_c1122	dropped	grey30
f344_c1123	dropped	grey30
f344_c1124	dropped	grey30
f344_c1125	Mesenchymal	lightgoldenrod1
f344_c1126	Mesenchymal	lightgoldenrod1
f344_c1127	dropped	grey30
f344_c1128	dropped	grey30
f344_c1129	dropped	grey30
f344_c113	dropped	grey30
f344_c1130	dropped	grey30
f344_c1131	dropped	grey30
f344_c1132	dropped	grey30
f344_c1133	dropped	grey30
f344_c1134	dropped	grey30
f344_c1135	dropped	grey30
f344_c1136	dropped	grey30
f344_c1137	dropped	grey30
f344_c1138	dropped	grey30
f344_c1139	dropped	grey30
f344_c114	Proliferating.B.Cell	orchid
f344_c1140	dropped	grey30
f344_c1141	dropped	grey30
f344_c1142	dropped	grey30
f344_c1143	dropped	grey30
f344_c1144	dropped	grey30
f344_c1145	Mesenchymal	lightgoldenrod1
f344_c1146	dropped	grey30
f344_c1147	dropped	grey30
f344_c1148	dropped	grey30
f344_c1149	dropped	grey30
f344_c115	dropped	grey30
f344_c1150	dropped	grey30
f344_c1151	dropped	grey30
f344_c1152	dropped	grey30
f344_c1153	dropped	grey30
f344_c1154	dropped	grey30
f344_c1155	dropped	grey30
f344_c1156	dropped	grey30
f344_c1157	Proliferating.B.Cell	orchid
f344_c1158	dropped	grey30
